candle_idx,direction,confidence,entry_price,exit_price,win
1710,PUT,0.7916,1.15293,1.1529,True
1711,BUY,0.7505,1.15291,1.15293,True
1712,BUY,0.8083,1.15292,1.1529,False
1713,BUY,0.9599,1.1529,1.15293,True
1714,PUT,0.7564,1.15293,1.1529,True
1715,BUY,0.9061,1.1529,1.15293,True
1716,PUT,0.7522,1.15293,1.1529,True
1717,BUY,0.9346,1.1529,1.15292,True
1718,PUT,0.7041,1.15293,1.15291,True
1719,BUY,0.8964,1.1529,1.15291,True
1720,BUY,0.7108,1.15292,1.15292,False
1721,BUY,0.8488,1.15291,1.1529,False
1722,BUY,0.9766,1.15291,1.15365,True
1723,BUY,0.6711,1.15292,1.15306,True
1724,BUY,0.9774,1.1529,1.15296,True
1725,PUT,0.8972,1.15365,1.15295,True
1726,PUT,0.7412,1.15306,1.15296,True
1727,PUT,0.8814,1.15296,1.15292,True
1728,PUT,0.7473,1.15295,1.15293,True
1729,PUT,0.9499,1.15296,1.15294,True
1730,BUY,0.8271,1.15292,1.15291,False
1731,PUT,0.8814,1.15293,1.15293,True
1732,PUT,0.9521,1.15294,1.1529,True
1733,BUY,0.9465,1.15291,1.15293,True
1734,PUT,0.8373,1.15293,1.1529,True
1735,BUY,0.9814,1.1529,1.15293,True
1736,PUT,0.9177,1.15293,1.1529,True
1737,BUY,0.9763,1.1529,1.15292,True
1738,PUT,0.8857,1.15293,1.15291,True
1739,BUY,0.9811,1.1529,1.15291,True
1740,BUY,0.7643,1.15292,1.15292,False
1741,BUY,0.8984,1.15291,1.1529,False
1742,BUY,0.9826,1.15291,1.15293,True
1743,BUY,0.6242,1.15292,1.1529,False
1744,BUY,0.9805,1.1529,1.15293,True
1745,PUT,0.6913,1.15293,1.1529,True
1746,BUY,0.9848,1.1529,1.15361,True
1748,BUY,0.98,1.1529,1.15308,True
1749,PUT,0.9301,1.15361,1.15297,True
1750,BUY,0.7247,1.15291,1.15295,True
1751,PUT,0.8588,1.15308,1.15296,True
1752,PUT,0.9085,1.15297,1.15292,True
1753,PUT,0.9243,1.15295,1.15295,True
1754,PUT,0.9502,1.15296,1.15291,True
1755,BUY,0.8832,1.15292,1.15294,True
1756,PUT,0.98,1.15295,1.15291,True
1757,BUY,0.9008,1.15291,1.15293,True
1758,PUT,0.9697,1.15294,1.15291,True
1759,BUY,0.9385,1.15291,1.15292,True
1760,PUT,0.6722,1.15293,1.15292,True
1761,BUY,0.8693,1.15291,1.15291,False
1762,BUY,0.7709,1.15292,1.15293,True
1763,PUT,0.73,1.15292,1.1529,True
1764,BUY,0.9684,1.15291,1.15293,True
1765,PUT,0.8012,1.15293,1.1529,True
1766,BUY,0.9807,1.1529,1.15293,True
1767,PUT,0.8965,1.15293,1.15291,True
1768,BUY,0.977,1.1529,1.15292,True
1769,PUT,0.8724,1.15293,1.15293,True
1770,BUY,0.7888,1.15291,1.15291,False
1771,BUY,0.7106,1.15292,1.15365,True
1773,BUY,0.989,1.15291,1.15309,True
1774,PUT,0.919,1.15365,1.15297,True
1775,BUY,0.8999,1.15285,1.15298,True
1776,PUT,0.8961,1.15309,1.15295,True
1777,PUT,0.8919,1.15297,1.15296,True
1778,PUT,0.955,1.15298,1.15292,True
1779,PUT,0.6039,1.15295,1.15293,True
1780,PUT,0.9087,1.15296,1.15293,True
1781,BUY,0.7293,1.15292,1.15291,False
1782,PUT,0.8435,1.15293,1.15293,True
1783,PUT,0.9441,1.15293,1.15291,True
1784,BUY,0.9688,1.15291,1.15294,True
1785,PUT,0.8769,1.15293,1.1529,True
1786,BUY,0.9537,1.15291,1.15293,True
1787,PUT,0.9162,1.15294,1.15291,True
1788,BUY,0.9591,1.1529,1.15292,True
1789,PUT,0.7768,1.15293,1.15293,True
1790,BUY,0.8594,1.15291,1.15291,False
1791,BUY,0.7175,1.15292,1.15293,True
1793,BUY,0.9855,1.15291,1.15293,True
1794,PUT,0.8289,1.15293,1.1529,True
1795,BUY,0.9804,1.1529,1.15293,True
1796,PUT,0.8235,1.15293,1.1529,True
1797,BUY,0.987,1.1529,1.15363,True
1799,BUY,0.9723,1.1529,1.15302,True
1800,PUT,0.8345,1.15363,1.15306,True
1801,PUT,0.6873,1.15319,1.15299,True
1802,PUT,0.7109,1.15302,1.15299,True
1803,PUT,0.824,1.15306,1.15294,True
1804,PUT,0.8132,1.15299,1.15296,True
1805,PUT,0.9614,1.15299,1.15291,True
1807,PUT,0.8469,1.15296,1.15291,True
1808,BUY,0.9539,1.15291,1.15293,True
